Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Average Load In Nanjing
2002/11/1 0:00,2002/11/2 0:00,2002/11/1 3:00,2002/11/2 3:00,1687.979
2002/11/2 0:00,2002/11/3 0:00,2002/11/2 3:00,2002/11/3 3:00,1653.573
2002/11/3 0:00,2002/11/4 0:00,2002/11/3 3:00,2002/11/4 3:00,1634.035
2002/11/4 0:00,2002/11/5 0:00,2002/11/4 3:00,2002/11/5 3:00,1715.912
2002/11/5 0:00,2002/11/6 0:00,2002/11/5 3:00,2002/11/6 3:00,1732.314
2002/11/6 0:00,2002/11/7 0:00,2002/11/6 3:00,2002/11/7 3:00,1717.768
2002/11/7 0:00,2002/11/8 0:00,2002/11/7 3:00,2002/11/8 3:00,1697.009
2002/11/8 0:00,2002/11/9 0:00,2002/11/8 3:00,2002/11/9 3:00,1733.018
2002/11/9 0:00,2002/11/10 0:00,2002/11/9 3:00,2002/11/10 3:00,1696.422
2002/11/10 0:00,2002/11/11 0:00,2002/11/10 3:00,2002/11/11 3:00,1646.448
2002/11/11 0:00,2002/11/12 0:00,2002/11/11 3:00,2002/11/12 3:00,1704.952
2002/11/12 0:00,2002/11/13 0:00,2002/11/12 3:00,2002/11/13 3:00,1702.916
2002/11/13 0:00,2002/11/14 0:00,2002/11/13 3:00,2002/11/14 3:00,1711.952
2002/11/14 0:00,2002/11/15 0:00,2002/11/14 3:00,2002/11/15 3:00,1747.226
2002/11/15 0:00,2002/11/16 0:00,2002/11/15 3:00,2002/11/16 3:00,1763.452
2002/11/16 0:00,2002/11/17 0:00,2002/11/16 3:00,2002/11/17 3:00,1691.221
2002/11/17 0:00,2002/11/18 0:00,2002/11/17 3:00,2002/11/18 3:00,1696.741
2002/11/18 0:00,2002/11/19 0:00,2002/11/18 3:00,2002/11/19 3:00,1793.252
2002/11/19 0:00,2002/11/20 0:00,2002/11/19 3:00,2002/11/20 3:00,1810.376
2002/11/20 0:00,2002/11/21 0:00,2002/11/20 3:00,2002/11/21 3:00,1839.362
2002/11/21 0:00,2002/11/22 0:00,2002/11/21 3:00,2002/11/22 3:00,1837.824
2002/11/22 0:00,2002/11/23 0:00,2002/11/22 3:00,2002/11/23 3:00,1832.501
2002/11/23 0:00,2002/11/24 0:00,2002/11/23 3:00,2002/11/24 3:00,1772.466
2002/11/24 0:00,2002/11/25 0:00,2002/11/24 3:00,2002/11/25 3:00,1746.626
2002/11/25 0:00,2002/11/26 0:00,2002/11/25 3:00,2002/11/26 3:00,1846.997
2002/11/26 0:00,2002/11/27 0:00,2002/11/26 3:00,2002/11/27 3:00,1838.84
2002/11/27 0:00,2002/11/28 0:00,2002/11/27 3:00,2002/11/28 3:00,1851.848
2002/11/28 0:00,2002/11/29 0:00,2002/11/28 3:00,2002/11/29 3:00,1824.932
2002/11/29 0:00,2002/11/30 0:00,2002/11/29 3:00,2002/11/30 3:00,1804.637
2002/11/30 0:00,2002/12/1 0:00,2002/11/30 3:00,2002/12/1 3:00,1763.663
2002/12/1 0:00,2002/12/2 0:00,2002/12/1 3:00,2002/12/2 3:00,1781.514
2002/12/3 0:00,2002/12/4 0:00,2002/12/3 3:00,2002/12/4 3:00,1787.578
2002/12/4 0:00,2002/12/5 0:00,2002/12/4 3:00,2002/12/5 3:00,1827.612
2002/12/5 0:00,2002/12/6 0:00,2002/12/5 3:00,2002/12/6 3:00,1834.83
2002/12/6 0:00,2002/12/7 0:00,2002/12/6 3:00,2002/12/7 3:00,1926.958
2002/12/7 0:00,2002/12/8 0:00,2002/12/7 3:00,2002/12/8 3:00,1828.535
2002/12/8 0:00,2002/12/9 0:00,2002/12/8 3:00,2002/12/9 3:00,1826.469
2002/12/9 0:00,2002/12/10 0:00,2002/12/9 3:00,2002/12/10 3:00,1994.044
2002/12/10 0:00,2002/12/11 0:00,2002/12/10 3:00,2002/12/11 3:00,2004.024
2002/12/11 0:00,2002/12/12 0:00,2002/12/11 3:00,2002/12/12 3:00,1991.519
2002/12/12 0:00,2002/12/13 0:00,2002/12/12 3:00,2002/12/13 3:00,1962.95
2002/12/13 0:00,2002/12/14 0:00,2002/12/13 3:00,2002/12/14 3:00,1954.016
2002/12/14 0:00,2002/12/15 0:00,2002/12/14 3:00,2002/12/15 3:00,1847.547
2002/12/15 0:00,2002/12/16 0:00,2002/12/15 3:00,2002/12/16 3:00,1779.681
2002/12/16 0:00,2002/12/17 0:00,2002/12/16 3:00,2002/12/17 3:00,1966.777
2002/12/17 0:00,2002/12/18 0:00,2002/12/17 3:00,2002/12/18 3:00,2020.455
2002/12/18 0:00,2002/12/19 0:00,2002/12/18 3:00,2002/12/19 3:00,1966.946
2002/12/19 0:00,2002/12/20 0:00,2002/12/19 3:00,2002/12/20 3:00,1897.077
2002/12/20 0:00,2002/12/21 0:00,2002/12/20 3:00,2002/12/21 3:00,1957.391
2002/12/21 0:00,2002/12/22 0:00,2002/12/21 3:00,2002/12/22 3:00,1869.635
2002/12/22 0:00,2002/12/23 0:00,2002/12/22 3:00,2002/12/23 3:00,1808.667
2002/12/23 0:00,2002/12/24 0:00,2002/12/23 3:00,2002/12/24 3:00,2011.167
2002/12/24 0:00,2002/12/25 0:00,2002/12/24 3:00,2002/12/25 3:00,2037.886
2002/12/25 0:00,2002/12/26 0:00,2002/12/25 3:00,2002/12/26 3:00,2116.468
2002/12/26 0:00,2002/12/27 0:00,2002/12/26 3:00,2002/12/27 3:00,2074.055
2002/12/27 0:00,2002/12/28 0:00,2002/12/27 3:00,2002/12/28 3:00,2074.162
2002/12/29 0:00,2002/12/30 0:00,2002/12/29 3:00,2002/12/30 3:00,1973.24
2002/12/30 0:00,2002/12/31 0:00,2002/12/30 3:00,2002/12/31 3:00,2022.363
2002/12/31 0:00,2003/1/1 0:00,2002/12/31 3:00,2003/1/1 3:00,2060.733
2003/1/1 0:00,2003/1/2 0:00,2003/1/1 3:00,2003/1/2 3:00,1886.784
2003/1/2 0:00,2003/1/3 0:00,2003/1/2 3:00,2003/1/3 3:00,2093.609
2003/1/3 0:00,2003/1/4 0:00,2003/1/3 3:00,2003/1/4 3:00,2144.202
2003/1/4 0:00,2003/1/5 0:00,2003/1/4 3:00,2003/1/5 3:00,2031.939
2003/1/5 0:00,2003/1/6 0:00,2003/1/5 3:00,2003/1/6 3:00,2092.762
2003/1/6 0:00,2003/1/7 0:00,2003/1/6 3:00,2003/1/7 3:00,2082.592
2003/1/7 0:00,2003/1/8 0:00,2003/1/7 3:00,2003/1/8 3:00,2193.054
2003/1/8 0:00,2003/1/9 0:00,2003/1/8 3:00,2003/1/9 3:00,2174.712
2003/1/9 0:00,2003/1/10 0:00,2003/1/9 3:00,2003/1/10 3:00,2125.666
2003/1/10 0:00,2003/1/11 0:00,2003/1/10 3:00,2003/1/11 3:00,2138.156
2003/1/11 0:00,2003/1/12 0:00,2003/1/11 3:00,2003/1/12 3:00,2017.781
2003/1/12 0:00,2003/1/13 0:00,2003/1/12 3:00,2003/1/13 3:00,1909.479
2003/1/13 0:00,2003/1/14 0:00,2003/1/13 3:00,2003/1/14 3:00,1976.352
2003/1/14 0:00,2003/1/15 0:00,2003/1/14 3:00,2003/1/15 3:00,2017.692
2003/1/15 0:00,2003/1/16 0:00,2003/1/15 3:00,2003/1/16 3:00,2051.48
2003/1/17 0:00,2003/1/18 0:00,2003/1/17 3:00,2003/1/18 3:00,1957.641
2003/1/18 0:00,2003/1/19 0:00,2003/1/18 3:00,2003/1/19 3:00,1912.133
2003/1/19 0:00,2003/1/20 0:00,2003/1/19 3:00,2003/1/20 3:00,1864.214
2003/1/20 0:00,2003/1/21 0:00,2003/1/20 3:00,2003/1/21 3:00,1987.341
2003/1/21 0:00,2003/1/22 0:00,2003/1/21 3:00,2003/1/22 3:00,1994.535
2003/1/22 0:00,2003/1/23 0:00,2003/1/22 3:00,2003/1/23 3:00,1993.61
2003/1/23 0:00,2003/1/24 0:00,2003/1/23 3:00,2003/1/24 3:00,1986.687
2003/1/24 0:00,2003/1/25 0:00,2003/1/24 3:00,2003/1/25 3:00,1838.601
2003/1/26 0:00,2003/1/27 0:00,2003/1/26 3:00,2003/1/27 3:00,1867.653
2003/1/27 0:00,2003/1/28 0:00,2003/1/27 3:00,2003/1/28 3:00,1967.983
2003/1/28 0:00,2003/1/29 0:00,2003/1/28 3:00,2003/1/29 3:00,1879.606
2003/1/29 0:00,2003/1/30 0:00,2003/1/29 3:00,2003/1/30 3:00,1828.914
2003/1/30 0:00,2003/1/31 0:00,2003/1/30 3:00,2003/1/31 3:00,1786.733
2003/1/31 0:00,2003/2/1 0:00,2003/1/31 3:00,2003/2/1 3:00,1635.841
2003/2/1 0:00,2003/2/2 0:00,2003/2/1 3:00,2003/2/2 3:00,1494.852
2003/2/2 0:00,2003/2/3 0:00,2003/2/2 3:00,2003/2/3 3:00,1452.543
2003/2/3 0:00,2003/2/4 0:00,2003/2/3 3:00,2003/2/4 3:00,1473.608
2003/2/4 0:00,2003/2/5 0:00,2003/2/4 3:00,2003/2/5 3:00,1478.266
2003/2/5 0:00,2003/2/6 0:00,2003/2/5 3:00,2003/2/6 3:00,1498.529
2003/2/6 0:00,2003/2/7 0:00,2003/2/6 3:00,2003/2/7 3:00,1532.062
2003/2/7 0:00,2003/2/8 0:00,2003/2/7 3:00,2003/2/8 3:00,1576.753
2003/2/8 0:00,2003/2/9 0:00,2003/2/8 3:00,2003/2/9 3:00,1667.316
2003/2/9 0:00,2003/2/10 0:00,2003/2/9 3:00,2003/2/10 3:00,1700.753
