Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Average Load In Nanjing
2002/11/01 00:00,2002/11/02 00:00,2002/11/01 03:00,2002/11/02 03:00,1687.979
2002/11/02 00:00,2002/11/03 00:00,2002/11/02 03:00,2002/11/03 03:00,1653.573
2002/11/03 00:00,2002/11/04 00:00,2002/11/03 03:00,2002/11/04 03:00,1634.035
2002/11/04 00:00,2002/11/05 00:00,2002/11/04 03:00,2002/11/05 03:00,1715.912
2002/11/05 00:00,2002/11/06 00:00,2002/11/05 03:00,2002/11/06 03:00,1732.314
2002/11/06 00:00,2002/11/07 00:00,2002/11/06 03:00,2002/11/07 03:00,1717.768
2002/11/07 00:00,2002/11/08 00:00,2002/11/07 03:00,2002/11/08 03:00,1697.009
2002/11/08 00:00,2002/11/09 00:00,2002/11/08 03:00,2002/11/09 03:00,1733.018
2002/11/09 00:00,2002/11/10 00:00,2002/11/09 03:00,2002/11/10 03:00,1696.422
2002/11/10 00:00,2002/11/11 00:00,2002/11/10 03:00,2002/11/11 03:00,1646.448
2002/11/11 00:00,2002/11/12 00:00,2002/11/11 03:00,2002/11/12 03:00,1704.952
2002/11/12 00:00,2002/11/13 00:00,2002/11/12 03:00,2002/11/13 03:00,1702.916
2002/11/13 00:00,2002/11/14 00:00,2002/11/13 03:00,2002/11/14 03:00,1711.952
2002/11/14 00:00,2002/11/15 00:00,2002/11/14 03:00,2002/11/15 03:00,1747.226
2002/11/15 00:00,2002/11/16 00:00,2002/11/15 03:00,2002/11/16 03:00,1763.452
2002/11/16 00:00,2002/11/17 00:00,2002/11/16 03:00,2002/11/17 03:00,1691.221
2002/11/17 00:00,2002/11/18 00:00,2002/11/17 03:00,2002/11/18 03:00,1696.741
2002/11/18 00:00,2002/11/19 00:00,2002/11/18 03:00,2002/11/19 03:00,1793.252
2002/11/19 00:00,2002/11/20 00:00,2002/11/19 03:00,2002/11/20 03:00,1810.376
2002/11/20 00:00,2002/11/21 00:00,2002/11/20 03:00,2002/11/21 03:00,1839.362
2002/11/21 00:00,2002/11/22 00:00,2002/11/21 03:00,2002/11/22 03:00,1837.824
2002/11/22 00:00,2002/11/23 00:00,2002/11/22 03:00,2002/11/23 03:00,1832.501
2002/11/23 00:00,2002/11/24 00:00,2002/11/23 03:00,2002/11/24 03:00,1772.466
2002/11/24 00:00,2002/11/25 00:00,2002/11/24 03:00,2002/11/25 03:00,1746.626
2002/11/25 00:00,2002/11/26 00:00,2002/11/25 03:00,2002/11/26 03:00,1846.997
2002/11/26 00:00,2002/11/27 00:00,2002/11/26 03:00,2002/11/27 03:00,1838.84
2002/11/27 00:00,2002/11/28 00:00,2002/11/27 03:00,2002/11/28 03:00,1851.848
2002/11/28 00:00,2002/11/29 00:00,2002/11/28 03:00,2002/11/29 03:00,1824.932
2002/11/29 00:00,2002/11/30 00:00,2002/11/29 03:00,2002/11/30 03:00,1804.637
2002/11/30 00:00,2002/12/01 00:00,2002/11/30 03:00,2002/12/01 03:00,1763.663
2002/12/01 00:00,2002/12/02 00:00,2002/12/01 03:00,2002/12/02 03:00,1781.514
2002/12/02 00:00,2002/12/03 00:00,2002/12/02 03:00,2002/12/03 03:00,1784.546
2002/12/03 00:00,2002/12/04 00:00,2002/12/03 03:00,2002/12/04 03:00,1787.578
2002/12/04 00:00,2002/12/05 00:00,2002/12/04 03:00,2002/12/05 03:00,1827.612
2002/12/05 00:00,2002/12/06 00:00,2002/12/05 03:00,2002/12/06 03:00,1834.83
2002/12/06 00:00,2002/12/07 00:00,2002/12/06 03:00,2002/12/07 03:00,1926.958
2002/12/07 00:00,2002/12/08 00:00,2002/12/07 03:00,2002/12/08 03:00,1828.535
2002/12/08 00:00,2002/12/09 00:00,2002/12/08 03:00,2002/12/09 03:00,1826.469
2002/12/09 00:00,2002/12/10 00:00,2002/12/09 03:00,2002/12/10 03:00,1994.044
2002/12/10 00:00,2002/12/11 00:00,2002/12/10 03:00,2002/12/11 03:00,2004.024
2002/12/11 00:00,2002/12/12 00:00,2002/12/11 03:00,2002/12/12 03:00,1991.519
2002/12/12 00:00,2002/12/13 00:00,2002/12/12 03:00,2002/12/13 03:00,1962.95
2002/12/13 00:00,2002/12/14 00:00,2002/12/13 03:00,2002/12/14 03:00,1954.016
2002/12/14 00:00,2002/12/15 00:00,2002/12/14 03:00,2002/12/15 03:00,1847.547
2002/12/15 00:00,2002/12/16 00:00,2002/12/15 03:00,2002/12/16 03:00,1779.681
2002/12/16 00:00,2002/12/17 00:00,2002/12/16 03:00,2002/12/17 03:00,1966.777
2002/12/17 00:00,2002/12/18 00:00,2002/12/17 03:00,2002/12/18 03:00,2020.455
2002/12/18 00:00,2002/12/19 00:00,2002/12/18 03:00,2002/12/19 03:00,1966.946
2002/12/19 00:00,2002/12/20 00:00,2002/12/19 03:00,2002/12/20 03:00,1897.077
2002/12/20 00:00,2002/12/21 00:00,2002/12/20 03:00,2002/12/21 03:00,1957.391
2002/12/21 00:00,2002/12/22 00:00,2002/12/21 03:00,2002/12/22 03:00,1869.635
2002/12/22 00:00,2002/12/23 00:00,2002/12/22 03:00,2002/12/23 03:00,1808.667
2002/12/23 00:00,2002/12/24 00:00,2002/12/23 03:00,2002/12/24 03:00,2011.167
2002/12/24 00:00,2002/12/25 00:00,2002/12/24 03:00,2002/12/25 03:00,2037.886
2002/12/25 00:00,2002/12/26 00:00,2002/12/25 03:00,2002/12/26 03:00,2116.468
2002/12/26 00:00,2002/12/27 00:00,2002/12/26 03:00,2002/12/27 03:00,2074.055
2002/12/27 00:00,2002/12/28 00:00,2002/12/27 03:00,2002/12/28 03:00,2074.162
2002/12/28 00:00,2002/12/29 00:00,2002/12/28 03:00,2002/12/29 03:00,2023.701
2002/12/29 00:00,2002/12/30 00:00,2002/12/29 03:00,2002/12/30 03:00,1973.24
2002/12/30 00:00,2002/12/31 00:00,2002/12/30 03:00,2002/12/31 03:00,2022.363
2002/12/31 00:00,2003/01/01 00:00,2002/12/31 03:00,2003/01/01 03:00,2060.733
2003/01/01 00:00,2003/01/02 00:00,2003/01/01 03:00,2003/01/02 03:00,1886.784
2003/01/02 00:00,2003/01/03 00:00,2003/01/02 03:00,2003/01/03 03:00,2093.609
2003/01/03 00:00,2003/01/04 00:00,2003/01/03 03:00,2003/01/04 03:00,2144.202
2003/01/04 00:00,2003/01/05 00:00,2003/01/04 03:00,2003/01/05 03:00,2031.939
2003/01/05 00:00,2003/01/06 00:00,2003/01/05 03:00,2003/01/06 03:00,2092.762
2003/01/06 00:00,2003/01/07 00:00,2003/01/06 03:00,2003/01/07 03:00,2082.592
2003/01/07 00:00,2003/01/08 00:00,2003/01/07 03:00,2003/01/08 03:00,2193.054
2003/01/08 00:00,2003/01/09 00:00,2003/01/08 03:00,2003/01/09 03:00,2174.712
2003/01/09 00:00,2003/01/10 00:00,2003/01/09 03:00,2003/01/10 03:00,2125.666
2003/01/10 00:00,2003/01/11 00:00,2003/01/10 03:00,2003/01/11 03:00,2138.156
2003/01/11 00:00,2003/01/12 00:00,2003/01/11 03:00,2003/01/12 03:00,2017.781
2003/01/12 00:00,2003/01/13 00:00,2003/01/12 03:00,2003/01/13 03:00,1909.479
2003/01/13 00:00,2003/01/14 00:00,2003/01/13 03:00,2003/01/14 03:00,1976.352
2003/01/14 00:00,2003/01/15 00:00,2003/01/14 03:00,2003/01/15 03:00,2017.692
2003/01/15 00:00,2003/01/16 00:00,2003/01/15 03:00,2003/01/16 03:00,2051.48
2003/01/16 00:00,2003/01/17 00:00,2003/01/16 03:00,2003/01/17 03:00,2004.56
2003/01/17 00:00,2003/01/18 00:00,2003/01/17 03:00,2003/01/18 03:00,1957.641
2003/01/18 00:00,2003/01/19 00:00,2003/01/18 03:00,2003/01/19 03:00,1912.133
2003/01/19 00:00,2003/01/20 00:00,2003/01/19 03:00,2003/01/20 03:00,1864.214
2003/01/20 00:00,2003/01/21 00:00,2003/01/20 03:00,2003/01/21 03:00,1987.341
2003/01/21 00:00,2003/01/22 00:00,2003/01/21 03:00,2003/01/22 03:00,1994.535
2003/01/22 00:00,2003/01/23 00:00,2003/01/22 03:00,2003/01/23 03:00,1993.61
2003/01/23 00:00,2003/01/24 00:00,2003/01/23 03:00,2003/01/24 03:00,1986.687
2003/01/24 00:00,2003/01/25 00:00,2003/01/24 03:00,2003/01/25 03:00,1838.601
2003/01/25 00:00,2003/01/26 00:00,2003/01/25 03:00,2003/01/26 03:00,1853.127
2003/01/26 00:00,2003/01/27 00:00,2003/01/26 03:00,2003/01/27 03:00,1867.653
2003/01/27 00:00,2003/01/28 00:00,2003/01/27 03:00,2003/01/28 03:00,1967.983
2003/01/28 00:00,2003/01/29 00:00,2003/01/28 03:00,2003/01/29 03:00,1879.606
2003/01/29 00:00,2003/01/30 00:00,2003/01/29 03:00,2003/01/30 03:00,1828.914
2003/01/30 00:00,2003/01/31 00:00,2003/01/30 03:00,2003/01/31 03:00,1786.733
2003/01/31 00:00,2003/02/01 00:00,2003/01/31 03:00,2003/02/01 03:00,1635.841
2003/02/01 00:00,2003/02/02 00:00,2003/02/01 03:00,2003/02/02 03:00,1494.852
2003/02/02 00:00,2003/02/03 00:00,2003/02/02 03:00,2003/02/03 03:00,1495.771
2003/02/03 00:00,2003/02/04 00:00,2003/02/03 03:00,2003/02/04 03:00,1496.691
2003/02/04 00:00,2003/02/05 00:00,2003/02/04 03:00,2003/02/05 03:00,1497.61
2003/02/05 00:00,2003/02/06 00:00,2003/02/05 03:00,2003/02/06 03:00,1498.529
2003/02/06 00:00,2003/02/07 00:00,2003/02/06 03:00,2003/02/07 03:00,1532.062
2003/02/07 00:00,2003/02/08 00:00,2003/02/07 03:00,2003/02/08 03:00,1576.753
2003/02/08 00:00,2003/02/09 00:00,2003/02/08 03:00,2003/02/09 03:00,1667.316
2003/02/09 00:00,2003/02/10 00:00,2003/02/09 03:00,2003/02/10 03:00,1700.753
2003/02/10 00:00,2003/02/11 00:00,2003/02/10 03:00,2003/02/11 03:00,1892.045
2003/02/11 00:00,2003/02/12 00:00,2003/02/11 03:00,2003/02/12 03:00,1979.298
2003/02/12 00:00,2003/02/13 00:00,2003/02/12 03:00,2003/02/13 03:00,1972.014
2003/02/13 00:00,2003/02/14 00:00,2003/02/13 03:00,2003/02/14 03:00,1964.555
2003/02/14 00:00,2003/02/15 00:00,2003/02/14 03:00,2003/02/15 03:00,2002.166
2003/02/15 00:00,2003/02/16 00:00,2003/02/15 03:00,2003/02/16 03:00,1857.926
2003/02/16 00:00,2003/02/17 00:00,2003/02/16 03:00,2003/02/17 03:00,1810.797
2003/02/17 00:00,2003/02/18 00:00,2003/02/17 03:00,2003/02/18 03:00,1950.48
2003/02/18 00:00,2003/02/19 00:00,2003/02/18 03:00,2003/02/19 03:00,1900.587
2003/02/19 00:00,2003/02/20 00:00,2003/02/19 03:00,2003/02/20 03:00,1872.356
2003/02/20 00:00,2003/02/21 00:00,2003/02/20 03:00,2003/02/21 03:00,1872.377
2003/02/21 00:00,2003/02/22 00:00,2003/02/21 03:00,2003/02/22 03:00,1854.294
2003/02/22 00:00,2003/02/23 00:00,2003/02/22 03:00,2003/02/23 03:00,1815.235
2003/02/23 00:00,2003/02/24 00:00,2003/02/23 03:00,2003/02/24 03:00,1798.126
2003/02/24 00:00,2003/02/25 00:00,2003/02/24 03:00,2003/02/25 03:00,1873.625
2003/02/25 00:00,2003/02/26 00:00,2003/02/25 03:00,2003/02/26 03:00,1894.46
2003/02/26 00:00,2003/02/27 00:00,2003/02/26 03:00,2003/02/27 03:00,1944.89
2003/02/27 00:00,2003/02/28 00:00,2003/02/27 03:00,2003/02/28 03:00,1921.794
2003/02/28 00:00,2003/03/01 00:00,2003/02/28 03:00,2003/03/01 03:00,1989.778
2003/03/01 00:00,2003/03/02 00:00,2003/03/01 03:00,2003/03/02 03:00,1876.809
2003/03/02 00:00,2003/03/03 00:00,2003/03/02 03:00,2003/03/03 03:00,1829.415
2003/03/03 00:00,2003/03/04 00:00,2003/03/03 03:00,2003/03/04 03:00,2034.267
2003/03/04 00:00,2003/03/05 00:00,2003/03/04 03:00,2003/03/05 03:00,2069.595
2003/03/05 00:00,2003/03/06 00:00,2003/03/05 03:00,2003/03/06 03:00,2084.972
2003/03/06 00:00,2003/03/07 00:00,2003/03/06 03:00,2003/03/07 03:00,2082.31
2003/03/07 00:00,2003/03/08 00:00,2003/03/07 03:00,2003/03/08 03:00,2017.866
2003/03/08 00:00,2003/03/09 00:00,2003/03/08 03:00,2003/03/09 03:00,1854.913
2003/03/09 00:00,2003/03/10 00:00,2003/03/09 03:00,2003/03/10 03:00,1798.416
2003/03/10 00:00,2003/03/11 00:00,2003/03/10 03:00,2003/03/11 03:00,1921.862
2003/03/11 00:00,2003/03/12 00:00,2003/03/11 03:00,2003/03/12 03:00,1939.211
2003/03/12 00:00,2003/03/13 00:00,2003/03/12 03:00,2003/03/13 03:00,1951.687
2003/03/13 00:00,2003/03/14 00:00,2003/03/13 03:00,2003/03/14 03:00,1951.639
2003/03/14 00:00,2003/03/15 00:00,2003/03/14 03:00,2003/03/15 03:00,2019.191
2003/03/15 00:00,2003/03/16 00:00,2003/03/15 03:00,2003/03/16 03:00,1922.702
2003/03/16 00:00,2003/03/17 00:00,2003/03/16 03:00,2003/03/17 03:00,1904.377
2003/03/17 00:00,2003/03/18 00:00,2003/03/17 03:00,2003/03/18 03:00,2061.779
2003/03/18 00:00,2003/03/19 00:00,2003/03/18 03:00,2003/03/19 03:00,1973.546
2003/03/19 00:00,2003/03/20 00:00,2003/03/19 03:00,2003/03/20 03:00,1949.91
